"idLeitura";"fkMaquina";"sistemaOperacional";"cpuMedia";"qtdProcessador";"ramTotal";"ramUso";"ramUsoPercent";"discoTotal";"discoUso";"discoLivre";"discoPercent";"dataHora"
208;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:46"
209;50000;"NFTS";3;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:49"
210;50000;"NFTS";5;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:52"
211;50000;"NFTS";2;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:55"
212;50000;"NFTS";3;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:14:58"
213;50000;"NFTS";4;8;8.37;6.99;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:01"
214;50000;"NFTS";3;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:04"
215;50000;"NFTS";4;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:08"
216;50000;"NFTS";7;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:15:11"
217;50000;"NFTS";6;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:15:14"
218;50000;"NFTS";2;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:15:17"
219;50000;"NFTS";4;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:15:20"
220;50000;"NFTS";6;8;8.37;6.98;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:23"
221;50000;"NFTS";3;8;8.37;6.99;84;488.1;168.48;319.61;34.5;"2022-10-18 06:15:26"
222;50000;"NFTS";4;8;8.37;6.96;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:29"
223;50000;"NFTS";3;8;8.37;6.96;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:32"
224;50000;"NFTS";3;8;8.37;6.95;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:35"
225;50000;"NFTS";3;8;8.37;6.95;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:38"
226;50000;"NFTS";3;8;8.37;6.96;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:41"
227;50000;"NFTS";4;8;8.37;6.95;83;488.1;168.48;319.61;34.5;"2022-10-18 06:15:44"
